cell_id,x_original,y_original,x_cropped,y_cropped,x_standardized,y_standardized
1,8297.871956833504,20873.42780004089,2816.8719568335036,14653.427800040889,1197.170581654239,6227.706815017377
2,8240.416392961799,20868.090295557802,2759.416392961799,14648.090295557802,1172.7519670087645,6225.438375612066
3,8302.087393346317,20858.192164177734,2821.087393346317,14638.192164177734,1198.9621421721847,6221.231669775537
4,8234.691782799258,20850.96786153007,2753.6917827992584,14630.967861530069,1170.3190076896847,6218.161341150279
5,8281.733888987967,20856.72087569268,2800.7338889879666,14636.720875692681,1190.3119028198857,6220.606372169389
6,8300.105768270761,20844.907752507283,2819.1057682707615,14624.907752507283,1198.1199515150736,6215.585794815595
7,8265.124967542602,20840.445692287158,2784.1249675426025,14620.445692287158,1183.253111205606,6213.689419222042
8,8247.151231202677,20830.529616014457,2766.151231202677,14610.529616014457,1175.6142732611377,6209.475086806144
9,8299.060310866953,20823.090684667746,2818.060310866953,14603.090684667746,1197.675632118455,6206.313540983792
10,8274.784086606538,20820.786882973916,2793.784086606538,14600.786882973916,1187.3582368077787,6205.334425263914
11,8277.389444053608,20804.66613491268,2796.389444053608,14584.66613491268,1188.4655137227833,6198.483107337889
12,8267.882121827366,20784.48566522535,2786.882121827366,14564.485665225351,1184.4249017766306,6189.906407720774
13,8293.759911320141,20788.953619867567,2812.7599113201413,14568.953619867567,1195.42296231106,6191.805288443716
14,8302.866885780255,20763.910764911205,2821.866885780255,14543.910764911205,1199.2934264566084,6181.162075087262
15,8257.625810263307,20771.52297142205,2776.6258102633074,14551.522971422051,1180.0659693619057,6184.397262854372
16,8230.215378354853,20747.909358572746,2749.215378354853,14527.909358572746,1168.4165358008124,6174.361477393417
17,8259.413990132578,20750.019594914036,2778.413990132578,14530.019594914036,1180.8259458063455,6175.258327838465
18,8303.884280512886,20742.190855896326,2822.884280512886,14522.190855896326,1199.7258192179766,6171.931113755938
19,8283.295174903535,20736.202569006964,2802.2951749035346,14516.202569006964,1190.9754493340022,6169.38609182796
20,8258.843304657785,20725.62094341624,2777.8433046577848,14505.620943416241,1180.5834044795586,6164.8889009519025
21,8284.356930928341,20714.477743870204,2803.356930928341,14494.477743870204,1191.426695644545,6160.153041144837
22,8266.842480962549,20711.828171869813,2785.8424809625485,14491.828171869813,1183.983054409083,6159.02697304467
23,8238.617294340078,20640.03108779322,2757.617294340078,14420.03108779322,1171.987350094533,6128.513212312118
24,8257.097523653401,20630.499584371206,2776.0975236534014,14410.499584371206,1179.8414475526956,6124.462323357762
25,8281.452875382998,20627.360900362804,2800.452875382998,14407.360900362804,1190.1924720377742,6123.128382654192
26,8237.609070463606,20620.549467400306,2756.6090704636063,14400.549467400306,1171.5588549470326,6120.23352364513
27,8282.340779547594,20607.200293221682,2801.340779547594,14387.200293221682,1190.5698313077276,6114.560124619215
28,8249.562236872523,20600.879668396785,2768.5622368725235,14380.879668396785,1176.6389506708224,6111.8738590686335
29,8243.651508027428,20581.431753683097,2762.6515080274276,14361.431753683097,1174.1268909116566,6103.608495315316
30,8292.656249355095,20577.1876375232,2811.6562493550955,14357.187637523199,1194.9539059759156,6101.804745947359
31,8265.62867619016,20536.912180312727,2784.6286761901592,14316.912180312727,1183.4671873808177,6084.687676632909
32,8239.824183078796,20536.15587446202,2758.8241830787956,14316.15587446202,1172.5002778084881,6084.366246646358
33,8229.15843046207,20509.325574710947,2748.15843046207,14289.325574710947,1167.9673329463797,6072.963369252152
34,8254.880295635778,20507.31973235707,2773.8802956357777,14287.319732357071,1178.8991256452055,6072.110886251755
35,8267.254926824673,20502.41453791832,2786.254926824673,14282.414537918321,1184.158343900486,6070.026178615286
36,8286.623384797324,20514.228091577956,2805.6233847973235,14294.228091577956,1192.3899385388625,6075.046938920631
37,8244.803788540361,20496.369204562707,2763.803788540361,14276.369204562707,1174.6166101296533,6067.45691193915
38,8242.788247298666,20481.765413674788,2761.7882472986657,14261.765413674788,1173.7600051019328,6061.250300811785
39,8221.6880799399,20474.571611900974,2740.6880799399005,14254.571611900974,1164.7924339744577,6058.192935057914
40,8255.584763308889,20479.485306093557,2774.584763308889,14259.485306093557,1179.1985244062778,6060.2812550897615
41,8248.274278416391,20464.11723236641,2767.274278416391,14244.11723236641,1176.0915683269661,6053.749823755725
42,8275.494134437522,20462.037856113817,2794.494134437522,14242.037856113817,1187.660007135947,6052.866088848372
43,8296.238271560844,20474.244318790188,2815.2382715608437,14254.244318790188,1196.4762654133585,6058.05383548583
44,8251.98842134772,20447.953487054387,2770.98842134772,14227.953487054387,1177.670079072781,6046.880231998114
45,8295.043002602086,20438.262809322034,2814.043002602086,14218.262809322034,1195.9682761058864,6042.761693961864
46,8273.345971523548,20438.51876319796,2792.3459715235476,14218.51876319796,1186.7470378975077,6042.870474359133
47,8240.43784671804,20432.69377143442,2759.4378467180395,14212.69377143442,1172.7610848551667,6040.394852859628
48,8243.382617278632,20703.343147432963,2762.382617278632,14483.343147432963,1174.0126123434186,6155.420837659009
49,8306.621251086981,20715.035243352693,2825.621251086981,14495.035243352693,1200.889031711967,6160.389978424894
50,8288.01063302524,20683.65565252755,2807.01063302524,14463.655652527548,1192.979519035727,6147.053652324208
51,8282.700205961417,20698.0927988685,2801.700205961417,14478.0927988685,1190.722587533602,6153.189439519112
52,8245.136302023999,20673.647103901367,2764.1363020239987,14453.647103901367,1174.7579283601995,6142.80001915808
53,8244.365391110472,20688.43526611405,2763.365391110472,14468.435266114051,1174.4302912219505,6149.0849880984715
54,8277.819674492279,20683.641133581474,2796.819674492279,14463.641133581474,1188.6483616592184,6147.047481772126
55,8266.688581757857,20683.02633056989,2785.688581757857,14463.02633056989,1183.917647247089,6146.786190492203
56,8271.771503565355,20666.214032232852,2790.7715035653546,14446.214032232852,1186.0778890152756,6139.640963698962
57,8303.422297260688,20672.40263614007,2822.4222972606876,14452.402636140068,1199.5294763357922,6142.271120359529
58,8265.429280089422,20698.773206562506,2784.429280089422,14478.773206562506,1183.3824440380042,6153.478612789065
59,8261.522938982816,20606.08129813119,2780.5229389828164,14386.08129813119,1181.722249067697,6114.084551705756
60,8272.082947427094,20621.845139381825,2791.082947427094,14401.845139381825,1186.210252656515,6120.784184237275
61,8234.022222704545,20656.66848538116,2753.022222704545,14436.66848538116,1170.0344446494316,6135.584106286993
62,8264.04806446852,20646.71002422181,2783.0480644685194,14426.710024221811,1182.7954273991206,6131.351760294269
63,8257.862785188778,20658.208944773127,2776.8627851887777,14438.208944773127,1180.1666837052305,6136.238801528579
64,8272.573361013168,20640.97951724482,2791.5733610131683,14420.979517244821,1186.4186784305964,6128.916294829049
65,8298.533984901327,20638.688427735993,2817.533984901327,14418.688427735993,1197.451943583064,6127.942581787797
66,8234.394721431267,20803.594465576178,2753.3947214312666,14583.594465576178,1170.1927566082882,6198.027647869875
67,8211.694777240415,21752.605850762193,2730.6947772404146,15532.605850762193,1160.5452803271762,6601.357486573932
68,8245.309132788869,21361.291831318704,2764.3091327888687,15141.291831318704,1174.8313814352691,6435.049028310449
69,8304.892616857363,20912.813250767704,2823.8926168573635,14692.813250767704,1200.1543621643793,6244.445631576274
70,8181.774599485131,21726.662674786552,2700.774599485131,15506.662674786552,1147.8292047811808,6590.3316367842845
71,8224.207055514555,21706.552248755892,2743.2070555145547,15486.552248755892,1165.8629985936857,6581.784705721254
72,8191.548580566341,21700.54747991578,2710.548580566341,15480.547479915778,1151.983146740695,6579.232678964206
73,8243.787627037384,21735.60175238836,2762.7876270373836,15515.60175238836,1174.184741490888,6594.130744765053
74,8281.582263537595,21724.254599976655,2800.5822635375953,15504.254599976655,1190.247462003478,6589.308204990079
75,8246.729153184926,21690.07841502485,2765.729153184926,15470.078415024851,1175.4348901035935,6574.783326385562
76,8290.762331399425,21690.121824692433,2809.7623313994245,15470.121824692433,1194.1489908447554,6574.801775494284
77,8225.381749038224,21650.797585239543,2744.3817490382244,15430.797585239543,1166.3622433412454,6558.088973726805
78,8266.701657171341,21660.114252959243,2785.701657171341,15440.114252959243,1183.92320429782,6562.048557507678
79,8291.053352594268,21652.079545591918,2810.0533525942683,15432.079545591918,1194.272674852564,6558.633806876565
80,8274.268090825977,21631.85257936342,2793.268090825977,15411.852579363422,1187.1389386010403,6550.037346229454
81,8306.270708669384,21644.131128519602,2825.2707086693845,15424.131128519602,1200.7400511844883,6555.255729620831
82,8241.983188487087,21639.440289611684,2760.9831884870873,15419.440289611684,1173.417855107012,6553.262123084965
83,8253.76055166833,21625.509126971625,2772.7605516683307,15405.509126971625,1178.4232344590405,6547.34137896294
84,8313.63401645797,21615.922318552,2832.6340164579706,15395.922318551999,1203.8694569946374,6543.266985384599
85,8243.95004899477,21610.11576360777,2762.9500489947695,15390.11576360777,1174.253770822777,6540.799199533302
86,8276.261542848968,21607.515447122536,2795.261542848968,15387.515447122536,1187.9861557108113,6539.694065027078
87,8224.679925662847,21593.62836136329,2743.6799256628474,15373.628361363291,1166.06396840671,6533.792053579398
88,8294.257919107815,21600.82001291571,2813.257919107815,15380.820012915709,1195.6346156208213,6536.848505489176
89,8244.792009393987,21593.2103765084,2763.7920093939865,15373.2103765084,1174.6116039924443,6533.61441001607
90,8260.134238588516,21583.50923838286,2779.1342385885164,15363.50923838286,1181.1320514001195,6529.491426312715
91,8234.09943699175,21564.07253345587,2753.09943699175,15344.07253345587,1170.0672607214935,6521.2308267187445
92,8299.262044901441,21563.98829288067,2818.262044901441,15343.98829288067,1197.7613690831124,6521.195024474284
93,8273.70313970362,21565.728869689206,2792.7031397036208,15345.728869689206,1186.8988343740389,6521.934769617913
94,8253.942329505277,21555.93738207423,2772.9423295052766,15335.93738207423,1178.5004900397425,6517.773387381548
95,8277.065800443357,21541.035299704152,2796.065800443357,15321.035299704152,1188.3279651884268,6511.440002374265
96,8224.417134204843,21195.878303203037,2743.417134204843,14975.878303203037,1165.9522820370582,6364.748278861291
97,8279.609484116316,21519.958787556025,2798.609484116316,15299.958787556025,1189.4090307494341,6502.4824847113105
98,8301.957111501184,21518.516647900786,2820.957111501184,15298.516647900786,1198.9067723880032,6501.869575357834
99,8251.076827384277,21493.148665324054,2770.076827384277,15273.148665324054,1177.2826516383177,6491.088182762723
100,8286.107203034895,21496.65293851974,2805.107203034895,15276.65293851974,1192.1705612898304,6492.577498870889
101,8271.671339306133,21479.947537295597,2790.6713393061327,15259.947537295597,1186.0353192051064,6485.477703350629
102,8302.262319366317,21490.464844336668,2821.2623193663167,15270.464844336668,1199.0364857306845,6489.947558843083
103,8234.475480851117,21482.077078998653,2753.475480851117,15262.077078998653,1170.2270793617247,6486.3827585744275
104,8250.600198826018,21457.493814266574,2769.6001988260177,15237.493814266574,1177.0800845010574,6475.934871063294
105,8230.272293278504,21453.109823003513,2749.2722932785036,15233.109823003513,1168.440724643364,6474.071674776493
106,8261.296985481615,20899.8057796263,2780.2969854816147,14679.805779626298,1181.6262188296862,6238.917456341177
107,8293.722339712273,21453.89150943672,2812.7223397122725,15233.891509436718,1195.4069943777158,6474.403891510605
108,8268.272558928049,21420.629396321907,2787.272558928049,15200.629396321907,1184.5908375444208,6460.267493436811
109,8246.428085616206,21430.282828166466,2765.428085616206,15210.282828166466,1175.3069363868874,6464.370201970748
110,8309.746134843677,21422.28436607868,2828.7461348436773,15202.284366078678,1202.2171073085628,6460.970855583439
111,8288.284796796574,21425.45867985368,2807.2847967965736,15205.45867985368,1193.0960386385436,6462.319938937814
112,8290.085665910305,21398.74758156153,2809.0856659103047,15178.747581561529,1193.8614080118793,6450.967722163649
113,8285.598809296778,20892.23388530204,2804.598809296778,14672.233885302041,1191.9544939511306,6235.699401253367
114,8256.847576632157,21400.221993836145,2775.847576632157,15180.221993836145,1179.7352200686666,6451.594347380362
115,8236.41845548981,21390.95134961523,2755.4184554898093,15170.951349615229,1171.0528435831689,6447.654323586472
116,8278.482975496874,21377.85794649272,2797.482975496874,15157.85794649272,1188.9302645861715,6442.089627259406
117,8223.523172626368,20900.50196650136,2742.5231726263683,14680.50196650136,1165.5723483662064,6239.213335763078
118,8291.559090648823,21360.446198673555,2810.5590906488233,15140.446198673555,1194.4876135257498,6434.68963443626
119,8267.628883148947,21351.11807669752,2786.6288831489474,15131.11807669752,1184.3172753383026,6430.725182596446
120,8307.78938935857,21343.89109017621,2826.7893893585697,15123.89109017621,1201.385490477392,6427.653713324889
121,8263.312386878992,21331.126244548614,2782.3123868789917,15111.126244548614,1182.4827644235713,6422.228653933161
122,8250.553524636882,21306.019605695183,2769.553524636882,15086.019605695183,1177.0602479706747,6411.558332420453
123,8299.22579346573,21302.65598277626,2818.22579346573,15082.655982776261,1197.7459622229353,6410.1287926799105
124,8217.1598202193,21330.79751931064,2736.1598202193,15110.79751931064,1162.8679235932025,6422.088945707022
125,8282.391414183327,21307.721391722403,2801.3914141833266,15087.721391722403,1190.5913510279138,6412.281591482021
126,8223.376721453036,21269.68662852674,2742.376721453036,15049.686628526739,1165.5101066175403,6396.116817123864
127,8263.412504284848,21288.844132820235,2782.412504284848,15068.844132820235,1182.5253143210605,6404.2587564486
128,8259.059250556777,21256.1211759534,2778.0592505567765,15036.121175953402,1180.67518148663,6390.351499780196
129,8266.798988877552,21270.4665573533,2785.798988877552,15050.466557353298,1183.9645702729595,6396.448286875152
130,8241.556222266914,21240.77125830375,2760.556222266914,15020.77125830375,1173.2363944634385,6383.827784779093
131,8296.169910245942,21268.37424722078,2815.1699102459424,15048.374247220781,1196.4472118545254,6395.559055068832
132,8270.677905663844,21244.127982594335,2789.6779056638443,15024.127982594335,1185.6131099071338,6385.254392602592
133,8292.339261508987,21229.368271227628,2811.339261508987,15009.368271227628,1194.8191861413195,6378.981515271742
134,8243.288829695277,21211.538765116697,2762.288829695277,14991.538765116697,1173.9727526204927,6371.403975174596
135,8279.563600431426,21191.91089379982,2798.5636004314256,14971.91089379982,1189.3895301833559,6363.062129864924
136,8296.121739492877,21170.24761186043,2815.121739492877,14950.247611860432,1196.4267392844727,6353.8552350406835
137,8222.100793589907,21172.37870608974,2741.100793589907,14952.378706089741,1164.9678372757105,6354.76095008814
138,8267.014001381882,21166.63291508306,2786.014001381882,14946.63291508306,1184.0559505872998,6352.3189889103005
139,8242.35338648388,21158.602948043434,2761.353386483879,14938.602948043434,1173.5751892556486,6348.906252918459
140,8274.449782710628,21139.70085853911,2793.449782710628,14919.700858539109,1187.2161576520168,6340.872864879121
141,8245.281072843965,21130.869313352323,2764.2810728439654,14910.869313352323,1174.8194559586852,6337.119458174737
142,8307.686434334126,21139.04806996664,2826.686434334126,14919.04806996664,1201.3417345920034,6340.595429735822
143,8221.39337919011,21128.702698010195,2740.393379190111,14908.702698010195,1164.667186155797,6336.198646654332
144,8297.056975653108,21106.34966546297,2816.0569756531077,14886.34966546297,1196.8242146525706,6326.698607821762
145,8261.366989568844,21096.28552713287,2780.3669895688436,14876.28552713287,1181.6559705667585,6322.42134903147
146,8225.9956340657,21086.104257154122,2744.995634065701,14866.104257154122,1166.6231444779228,6318.094309290502
147,8264.296677331698,21070.978979275566,2783.2966773316984,14850.978979275566,1182.9010878659717,6311.666066192115
148,8244.352636931126,21050.896844070725,2763.3526369311257,14830.896844070725,1174.4248706957285,6303.131158730058
149,8287.146344969415,21046.643917164787,2806.1463449694147,14826.643917164787,1192.6121966120013,6301.323664795034
150,8272.160421876042,21031.498976052157,2791.160421876042,14811.498976052157,1186.243179297318,6294.887064822166
151,8224.435525152143,21012.152884814877,2743.435525152143,14792.152884814877,1165.9600981896606,6286.664976046322
152,8247.450492619233,20996.492707594334,2766.450492619233,14776.492707594334,1175.741459363174,6280.009400727592
153,8268.524136954406,20990.25943814666,2787.5241369544055,14770.259438146659,1184.6977582056222,6277.3602612123295
